idSite,SiteName,DateTime,Observed
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 04:40:00,0.884
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 04:50:00,0.925
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 05:00:00,0.973
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 05:10:00,1.046
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 05:20:00,1.147
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 05:30:00,1.268
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 05:40:00,1.407
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 05:50:00,1.566
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 06:00:00,1.726
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 06:10:00,1.903
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 06:20:00,2.085
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 06:30:00,2.275
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 06:40:00,2.471
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 06:50:00,2.659
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 07:00:00,2.875
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 07:10:00,3.087
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 07:20:00,3.309
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 07:30:00,3.548
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 07:40:00,3.789
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 07:50:00,4.036
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 08:00:00,4.287
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 08:10:00,4.528
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 08:20:00,4.755
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 08:30:00,4.97
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 08:40:00,5.165
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 08:50:00,5.339
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 09:00:00,5.505
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 09:10:00,5.663
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 09:20:00,5.804
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 09:30:00,5.916
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 09:40:00,6.008
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 09:50:00,6.077
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 10:00:00,6.133
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 10:10:00,6.154
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 10:20:00,6.151
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 10:30:00,6.116
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 10:40:00,6.06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 10:50:00,5.974
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 11:00:00,5.857
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 11:10:00,5.73
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 11:20:00,5.585
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 11:30:00,5.417
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 11:40:00,5.236
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 11:50:00,5.042
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 12:00:00,4.855
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 12:10:00,4.672
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 12:20:00,4.48
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 12:30:00,4.28
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 12:40:00,4.084
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 12:50:00,3.884
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 13:00:00,3.689
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 13:10:00,3.494
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 13:20:00,3.312
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 13:30:00,3.139
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 13:40:00,2.976
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),2015-01-02 13:50:00,2.822
