idSite,site_name,date,daily_tidal_range
01_RICHMOND,Richmond Lock,2004-05-15,3.530832167832168
01_RICHMOND,Richmond Lock,2004-05-16,3.899764285714286
01_RICHMOND,Richmond Lock,2004-05-17,4.077597222222222
01_RICHMOND,Richmond Lock,2004-05-18,4.26441958041958
01_RICHMOND,Richmond Lock,2004-05-19,4.406573426573426
01_RICHMOND,Richmond Lock,2004-05-20,4.387444444444444
01_RICHMOND,Richmond Lock,2004-05-21,4.5364545454545455
01_RICHMOND,Richmond Lock,2004-05-22,4.4252569444444445
01_RICHMOND,Richmond Lock,2004-05-23,4.207638888888889
01_RICHMOND,Richmond Lock,2004-05-24,3.947951388888889
01_RICHMOND,Richmond Lock,2004-05-25,3.9304791666666663
01_RICHMOND,Richmond Lock,2004-05-26,3.7874999999999996
01_RICHMOND,Richmond Lock,2004-05-27,3.7304791666666666
01_RICHMOND,Richmond Lock,2004-05-28,3.566680555555555
01_RICHMOND,Richmond Lock,2004-05-29,3.6659652777777776
01_RICHMOND,Richmond Lock,2004-05-30,3.8816249999999997
01_RICHMOND,Richmond Lock,2004-05-31,4.259748251748252
01_RICHMOND,Richmond Lock,2004-06-01,4.365347222222222
01_RICHMOND,Richmond Lock,2004-06-02,4.492798611111111
01_RICHMOND,Richmond Lock,2004-06-03,4.748839160839161
01_RICHMOND,Richmond Lock,2004-06-04,4.890159722222222
01_RICHMOND,Richmond Lock,2004-06-05,5.067173611111111
01_RICHMOND,Richmond Lock,2004-06-06,4.894986111111112
01_RICHMOND,Richmond Lock,2004-06-07,5.0035694444444445
01_RICHMOND,Richmond Lock,2004-06-08,4.758704225352114
01_RICHMOND,Richmond Lock,2004-06-09,4.405368055555556
01_RICHMOND,Richmond Lock,2004-06-10,4.237576388888888
01_RICHMOND,Richmond Lock,2004-06-11,4.089866197183099
01_RICHMOND,Richmond Lock,2004-06-12,4.011972222222223
01_RICHMOND,Richmond Lock,2004-06-13,4.1340208333333335
01_RICHMOND,Richmond Lock,2004-06-14,4.014804195804196
01_RICHMOND,Richmond Lock,2004-06-15,4.227145833333333
01_RICHMOND,Richmond Lock,2004-06-16,4.517618055555555
01_RICHMOND,Richmond Lock,2004-06-17,4.474451388888889
01_RICHMOND,Richmond Lock,2004-06-18,4.794464788732394
01_RICHMOND,Richmond Lock,2004-06-19,4.798340277777778
01_RICHMOND,Richmond Lock,2004-06-20,4.6068111888111885
01_RICHMOND,Richmond Lock,2004-06-21,4.633819444444445
01_RICHMOND,Richmond Lock,2004-06-22,4.5556363636363635
01_RICHMOND,Richmond Lock,2004-06-23,4.207784722222223
01_RICHMOND,Richmond Lock,2004-06-24,3.7095594405594405
01_RICHMOND,Richmond Lock,2004-06-25,4.117506944444445
01_RICHMOND,Richmond Lock,2004-06-26,4.261888111888112
01_RICHMOND,Richmond Lock,2004-06-27,4.039854166666667
01_RICHMOND,Richmond Lock,2004-06-28,4.14895744680851
01_RICHMOND,Richmond Lock,2004-06-29,4.3465694444444445
01_RICHMOND,Richmond Lock,2004-06-30,4.5677957746478866
01_RICHMOND,Richmond Lock,2004-07-01,4.838673611111111
01_RICHMOND,Richmond Lock,2004-07-02,4.890111111111111
01_RICHMOND,Richmond Lock,2004-07-03,4.963041666666666
01_RICHMOND,Richmond Lock,2004-07-04,5.142277777777777
01_RICHMOND,Richmond Lock,2004-07-05,5.373243055555555
01_RICHMOND,Richmond Lock,2004-07-06,5.2502152777777775
01_RICHMOND,Richmond Lock,2004-07-07,5.144312500000001
01_RICHMOND,Richmond Lock,2004-07-08,4.65893661971831
01_RICHMOND,Richmond Lock,2004-07-09,4.129097222222222
01_RICHMOND,Richmond Lock,2004-07-10,3.891056338028169
01_RICHMOND,Richmond Lock,2004-07-11,3.9398951048951045
01_RICHMOND,Richmond Lock,2004-07-12,4.008854166666667
01_RICHMOND,Richmond Lock,2004-07-13,3.9325416666666664
01_RICHMOND,Richmond Lock,2004-07-14,4.114140845070422
01_RICHMOND,Richmond Lock,2004-07-15,4.381333333333334
01_RICHMOND,Richmond Lock,2004-07-16,4.400131944444444
01_RICHMOND,Richmond Lock,2004-07-17,4.624305555555556
01_RICHMOND,Richmond Lock,2004-07-18,4.696354166666667
01_RICHMOND,Richmond Lock,2004-07-19,4.841909722222223
01_RICHMOND,Richmond Lock,2004-07-20,4.825687500000001
01_RICHMOND,Richmond Lock,2004-07-21,4.7251666666666665
01_RICHMOND,Richmond Lock,2004-07-22,4.845777777777778
01_RICHMOND,Richmond Lock,2004-07-23,4.654957746478873
01_RICHMOND,Richmond Lock,2004-07-24,4.685895833333333
01_RICHMOND,Richmond Lock,2004-07-25,4.550930555555556
01_RICHMOND,Richmond Lock,2004-07-26,4.328881944444444
01_RICHMOND,Richmond Lock,2004-07-27,4.228993055555555
01_RICHMOND,Richmond Lock,2004-07-28,4.2670208333333335
01_RICHMOND,Richmond Lock,2004-07-29,4.309923076923077
01_RICHMOND,Richmond Lock,2004-07-30,4.553409722222222
01_RICHMOND,Richmond Lock,2004-07-31,4.9898380281690144
