idSite,site_name,frequency,power
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.5488863528273376,2.207974645978586e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.5548879847178894,1.3569335046386087e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.560889616608441,5.020516018379803e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.5668912484989928,1.4257792470840867e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.5728928803895444,1.6809629109533468e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.5788945122800961,1.4886109201992341e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.5848961441706478,1.7267852339423134e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.5908977760611995,8.610944964467746e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.5968994079517512,2.6909247737794935e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.6029010398423029,4.009987337708514e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.6089026717328547,1.2880658017333518e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.6149043036234064,2.6243867039884662e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.6209059355139581,5.8715208980459895e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.6269075674045098,2.566218052594567e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.6329091992950615,1.2030219864355285e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.6389108311856132,6.171391911795049e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.6449124630761649,2.7907111676113987e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.6509140949667167,2.689530979790053e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.6569157268572684,9.368412123493927e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.6629173587478201,1.5475450953601616e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.6689189906383718,1.7898706226083507e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.6749206225289235,4.9799582837802225e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.6809222544194752,1.2070101040932072e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.6869238863100269,6.079687428896571e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.6929255182005786,1.5923994096320298e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.6989271500911303,9.846495356156058e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.7049287819816821,2.2558128936494546e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.7109304138722338,1.8463108991595705e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.7169320457627855,8.760831350969946e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.7229336776533372,6.238951568639856e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.7289353095438889,9.531245211170474e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.7349369414344405,1.2153853125014142e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.7409385733249922,2.5010124054204937e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.746940205215544,1.5679715096381774e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.7529418371060957,5.532069266639367e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.7589434689966474,1.932995041208384e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.7649451008871991,6.733721306906369e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.7709467327777508,4.932381005534547e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.7769483646683025,1.3827478632792452e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.7829499965588542,9.374236030353669e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.7889516284494059,4.271242036553286e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.7949532603399576,9.104783183666396e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.8009548922305094,2.551697910984799e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.8069565241210611,1.2640594827708068e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.8129581560116128,3.1836127643751713e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.8189597879021645,8.380273219029077e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.8249614197927162,1.133302826009884e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.8309630516832679,8.297940657120983e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.8369646835738196,5.473267790177721e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.8429663154643714,4.0465568717421657e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.8489679473549231,1.1971936526807118e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.8549695792454748,1.2282685547715306e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.8609712111360265,1.7608976666553313e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.8669728430265782,1.0604268709713252e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.8729744749171299,2.144746659014569e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.8789761068076816,1.115453342786597e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.8849777386982333,5.559770464867362e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.890979370588785,1.61956378330456e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.8969810024793368,1.772455959851492e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.9029826343698885,4.331350951017883e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.9089842662604402,1.6367638065509269e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.9149858981509918,1.6272690074108055e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.9209875300415435,3.597451277982704e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.9269891619320952,3.283831045062056e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.9329907938226469,9.394436086396098e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.9389924257131987,1.3670706080291546e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.9449940576037504,9.55986643180466e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.9509956894943021,6.665720246875999e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.9569973213848538,1.5780977292379539e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.9629989532754055,8.542344157736845e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.9690005851659572,6.193600784451778e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.9750022170565089,1.9298373067786996e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.9810038489470606,1.1152099729790089e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.9870054808376123,7.858564769739364e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.9930071127281641,9.791572704489855e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),0.9990087446187158,9.250137008977228e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.0050103765092675,3.8766832942243066e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.011012008399819,8.45170578122274e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.017013640290371,9.933832610703102e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.0230152721809227,1.8673832497613694e-05
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.0290169040714743,3.635714293938258e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.035018535962026,1.7623056795399337e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.0410201678525777,1.035476812876538e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.0470217997431295,1.7758754091056134e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.053023431633681,3.4212205780081363e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.0590250635242329,2.1938638770482966e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.0650266954147847,9.100678864213126e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.0710283273053363,2.7855519500477833e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.077029959195888,6.692890716962559e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.0830315910864396,1.5920386815536711e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.0890332229769915,3.1118634821469634e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.095034854867543,1.3722130477377394e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.1010364867580948,1.7308971016465474e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.1070381186486467,3.169789719074894e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.1130397505391982,1.0345641122119981e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.11904138242975,9.162363040377299e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.1250430143203016,4.4416083958311824e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.1310446462108534,6.340679184120978e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.137046278101405,1.1679793649462304e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.1430479099919568,3.5889686426903478e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.1490495418825084,2.5285662889909463e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.1550511737730602,1.1983448900156185e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.161052805663612,3.849101457872682e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.1670544375541636,2.2064560459491226e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.1730560694447154,1.8678528106608819e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.179057701335267,9.380047686006531e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.1850593332258188,4.737407403079791e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.1910609651163704,2.0629565129536297e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.1970625970069222,3.5181570033619783e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.2030642288974738,1.634434411143974e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.2090658607880256,2.3180402973004067e-10
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.2150674926785774,1.6296977740925322e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.221069124569129,1.4150513626676356e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.2270707564596808,1.0750478298479076e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.2330723883502324,2.5903487815606986e-08
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.2390740202407842,5.5710504249863565e-08
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.2450756521313358,1.1427610178212657e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.2510772840218876,3.8580537773917526e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.2570789159124394,9.613030039291352e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.263080547802991,1.9756503293312425e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.2690821796935428,1.4214595981822144e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.2750838115840943,2.2051141967578556e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.2810854434746461,1.569281541591485e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.2870870753651977,5.230354100906092e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.2930887072557495,3.5106696800087713e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.2990903391463013,1.183146223585205e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.305091971036853,2.504572184729604e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.3110936029274047,4.286944237999144e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.3170952348179563,1.2863753473649e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.3230968667085081,1.4252315287392492e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.3290984985990597,1.0569012479010162e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.3351001304896115,2.010728540075763e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.341101762380163,2.455229766151704e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.347103394270715,5.99487516980648e-08
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.3531050261612667,2.7784959268788716e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.3591066580518183,3.3236247565823308e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.36510828994237,5.365848107434544e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.3711099218329217,3.009717993358089e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.3771115537234735,2.2361547828188938e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.383113185614025,6.846852623692818e-08
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.3891148175045769,1.041624333518632e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.3951164493951285,4.422065651633189e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.4011180812856803,5.381036307674603e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.407119713176232,2.642479314976081e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.4131213450667837,2.720123911886214e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.4191229769573355,1.5668799155303297e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.425124608847887,8.777201721275713e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.4311262407384389,1.5596391075124741e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.4371278726289904,1.3523355442242616e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.4431295045195422,1.3826684158655415e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.449131136410094,9.41079020655033e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.4551327683006456,1.1326278421432131e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.4611344001911974,1.3131085819052756e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.467136032081749,4.114810611050502e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.4731376639723008,1.529123478873368e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.4791392958628524,2.7101310294731e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.4851409277534042,2.6879061606819534e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.491142559643956,1.4571974185988906e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.4971441915345076,6.9876081917222154e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.5031458234250594,9.563372577106399e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.509147455315611,4.323981354837436e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.5151490872061628,7.880153749475342e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.5211507190967144,7.371075232968633e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.5271523509872662,4.810718447063914e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.5331539828778178,1.5934256631353917e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.5391556147683696,1.11680208860883e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.5451572466589214,4.292402659321967e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.551158878549473,4.346911224001308e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.5571605104400248,9.590652213974672e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.5631621423305764,3.683353368801629e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.5691637742211282,6.172647242285188e-08
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.5751654061116798,1.8128148711319376e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.5811670380022316,3.8918173142890395e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.5871686698927832,4.739545787384386e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.593170301783335,3.958999676406618e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.5991719336738868,5.698684278744082e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.6051735655644384,1.2425698783137624e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.6111751974549902,3.735757042212503e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.6171768293455417,3.164017239477621e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.6231784612360936,2.6536019728982186e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.6291800931266451,7.822148351335596e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.635181725017197,8.32752663296819e-07
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.6411833569077487,1.218928499164247e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.6471849887983003,1.3398584178728674e-06
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.6531866206888521,7.840681783015861e-08
09c_CORYTON_HOLEHAVEN,Coryton (Holehaven),1.6591882525794037,4.248837138644191e-06
